No|Pengguna|PLK|DPB|Tgl Masuk|Divisi|Kode Proyek|Product|Nama Proyek|Description|Account|Unit|Cur|Unit price|Order|Curr. amount|Total (Rupiah)|Tgl Pengajuan|Tgl Kebutuhan|SPPH|PO|Jenis Order|Supplier|Order|Cur|Harga|Total|Tanggal PO|Tanggal Kirim|ETA|Barang Tiba|Negosiasi|Efisiensi|BA|Jml Brg|delivery time Amd|Status|Keterangan
16|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N19120055|No Project|LABEL/STIKER; SIGN HERE, POST IT|2241|PAC|IDR|29560|3|88680|88680|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|3|IDR|28500|85500|||TIDAK|27/07/2016 0:00:00|TIDAK|36180|310003230|3|||
17|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N13101412|No Project|BARANG JADI ELEKTRONIK/ELEKTRIK; BATTERY 1,5A , AAA, ABC|2241|BH|IDR|1378,05|24|33073,2|33073,2|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|24|IDR|1350|32400|||TIDAK|27/07/2016 0:00:00|TIDAK|-19426,8|310003230|24|||
18|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N19100001|No Project|ABJAD FILE; ALPHABETIC, A S/D Z, ABU, PLASTIK|2241|SET|IDR|59120|3|177360|177360|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|3|IDR|55000|165000|||TIDAK|27/07/2016 0:00:00|TIDAK|124860|310003230|3|||
19|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N19100145|No Project|MATERAI; RP. 6000|2241|BU|IDR|7094|30|212820|212820|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|30|IDR|6600|198000|||TIDAK|27/07/2016 0:00:00|TIDAK|160320|310003230|30|||
20|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N19100127|No Project|LEM; STICK GLUE, 21 GR, PADAT, UHU|2241|TUB|IDR|16124|5|80620|80620|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|5|IDR|15500|77500|||TIDAK|27/07/2016 0:00:00|TIDAK|28120|310003230|5|||
21|RENNI|0|110005671||Unit Bisnis ELHAN|11616UD132|N13105384|HARKOMLEK KELAS MANDAU|BRG JD ELEKTRIK; SINGLE BOARD COMPUTER MVME2432, MOTOROLA|2131|BU|USD|3250|1|3250|4,459975E+07|||140000932|220000931|PO|WAVEMOTION SINGAPORE PTE LTD|1|USD|3250|3250|||TIDAK|23/08/2016 0:00:00|TIDAK|0|310003311|1|||
22|IIS|0|110005677||Unit Bisnis ICT|16514JI160|N15105122|ITTS Phase II|JS SUBKON; JASA PEKERJAAN PERKUATAN TOWER SITE SUNGAI PENUH|2151|LOT|IDR|2,777367E+07|1|2,777367E+07|2,777367E+07|||150001478|230001451|SP|ABHEVISI, PT.|1|IDR|26500000|26500000|||TIDAK|19/08/2016 0:00:00|TIDAK|1273672|310003255|1|||
23|IIS|0|110005676||Unit Bisnis ICT|NONE|N20110139|No Project|AC; AC SPLIT 1 PK STANDARD PANASONIC|B2200|UN|IDR|4250000|3|1,275E+07|1,275E+07|||150001479|230001442|SP|TRITAMA BHAKTI, CV.|3|IDR|4166000|12498000|||TIDAK|18/07/2016 0:00:00|TIDAK|10606000|310003208|3|||
24|IIS|0|110005676||Unit Bisnis ICT|NONE|N20110140|No Project|AC; AC SPLIT 1.5 PK STANDARD PANASONIC|B2200|UN|IDR|4890000|1|4890000|4890000|||150001479|230001442|SP|TRITAMA BHAKTI, CV.|1|IDR|4794000|4794000|||TIDAK|18/07/2016 0:00:00|TIDAK|2746000|310003208|1|||
25|IIS|0|110005676||Unit Bisnis ICT|NONE|N12101689|No Project|BAHAN MEKANIK; PIPA TEMBAGA MERK HODA|B2200|MTR|IDR|69000|32|2208000|2208000|||150001479|230001442|SP|TRITAMA BHAKTI, CV.|32|IDR|67000|2144000|||TIDAK|18/07/2016 0:00:00|TIDAK|64000|310003208|32|||
26|IIS|0|110005676||Unit Bisnis ICT|NONE|N11121634|No Project|KABEL/KAWAT; KABEL / KAWAT LOW VOLTAGE INDOOR NYM 3 X 2.5 MM SUPREME|B2200|MTR|IDR|22000|32|704000|704000|||150001479|230001442|SP|TRITAMA BHAKTI, CV.|32|IDR|21000|672000|||TIDAK|18/07/2016 0:00:00|TIDAK|-1440000|310003208|32|||
27|IIS|0|110005676||Unit Bisnis ICT|NONE|N12101688|No Project|BAHAN MEKANIK; PIPA PVC PARALON DIA|B2200|BTG|IDR|15500|6|93000|93000|||150001479|230001442|SP|TRITAMA BHAKTI, CV.|6|IDR|14000|84000|||TIDAK|18/07/2016 0:00:00|TIDAK|-2051000|310003208|6|||
28|IIS|0|110005676||Unit Bisnis ICT|NONE|N13114675|No Project|BRG JD MEKANIK; KABEL DUCT 50 X 50 X 1700 MM	|B2200|BTG|IDR|35000|10|350000|350000|||150001479|230001442|SP|TRITAMA BHAKTI, CV.|10|IDR|34000|340000|||TIDAK|18/07/2016 0:00:00|TIDAK|-1794000|310003208|10|||
29|IIS|0|110005676||Unit Bisnis ICT|NONE|N13114676|No Project|BRG JD MEKANIK; BESI SIKU LUBANG|B2200|BTG|IDR|95500|2|191000|191000|||150001479|230001442|SP|TRITAMA BHAKTI, CV.|2|IDR|93000|186000|||TIDAK|18/07/2016 0:00:00|TIDAK|-1953000|310003208|2|||
30|DWI|0|110005675||Divisi Produksi|35014MR121|13114667|RACK INTERLOCKING DAN NON INTERLOCKING 2014|BRG JD MEKANIK; TRANSFORMER FRAME	|2134|BU|IDR|3250000|2|6500000|6500000|||130003597|210003439|SP|SMART TEKNIK UTAMA, PT|2|IDR|3325000|6650000|||TIDAK|24/08/2016 0:00:00|TIDAK|-150000|310003302|2|||
31|DWI|0|110005675||Divisi Produksi|35014MR121|13114668|RACK INTERLOCKING DAN NON INTERLOCKING 2014|BRG JD MEKANIK; SPACER NYLON DIA 20 X DIA 6,5 X 15 MM|2134|BU|IDR|13500|4|54000|54000|||130003596|210003427|SP|AMALIA PRATAMA, CV|4|IDR|12000|48000|||TIDAK|24/08/2016 0:00:00|TIDAK|6000|340700300|4|||
32|DWI|0|110005675||Divisi Produksi|35014MR121|13114669|RACK INTERLOCKING DAN NON INTERLOCKING 2014|BRG JD MEKANIK; GROUNDING BAR CU 491X25X6MM|2134|BU|IDR|420000|2|840000|840000|||130003596|210003427|SP|AMALIA PRATAMA, CV|2|IDR|395000|790000|||TIDAK|24/08/2016 0:00:00|TIDAK|792000|340700300|2|||
33|DWI|0|110005674||Divisi Produksi|35014MR121|N15104506|RACK INTERLOCKING DAN NON INTERLOCKING 2014|JS SUBKON; JASA PABRIKASI; LOCATION CASE ABS RACK DOUBLE DOOR, FINISHED POWDER COATING|2151|UN|IDR|3,17956E+07|21|6,677076E+08|6,677076E+08|||130003589|210003421|SPERJ|LASER METAL MANDIRI, PT.|21|IDR|27000000|567000000|||TIDAK|20/09/2016 0:00:00|TIDAK|100707584|340800290|21|||
34|DWI|0|110005674||Divisi Produksi|35014MR121|N15104507|RACK INTERLOCKING DAN NON INTERLOCKING 2014|JS SUBKON; JASA PABRIKASI; LOCATION CASE ABS RACK SINGLE DOOR, FINISHED POWDER COATING|2151|UN|IDR|2,41208E+07|8|1,929664E+08|1,929664E+08|||130003589|210003421|SPERJ|LASER METAL MANDIRI, PT.|8|IDR|21000000|168000000|||TIDAK||TIDAK|-374033600|||||
35|DWI|0|110005673||Divisi Produksi|35014MR121|12101675|RACK INTERLOCKING DAN NON INTERLOCKING 2014|BAHAN MEKANIK; PLAT STAINLESS STEEL SS304 FINISHED 2B TEBAL 2MM (4X8 FEET), BHS ACERINOX	|2134|LBR|IDR|2526015|261|6,592899E+08|6,592899E+08|||130003588|210003419|SPERJ|ECOTECH, CV.|261|IDR|1750000|456750000|||TIDAK|19/09/2016 0:00:00|TIDAK|202539920|340700306|261|||
36|AMY|0|110005681||Sekretaris Perusahaan|NONE|N20130050|No Project|KURSI; PUTAR, OFFICE CHAIR WITH ARM, BLACK, TIPE Z2001B|B2200|BU|IDR|920000|1|920000|920000|||130003593|210003426|SP|INSAN JAYA MUKTI, CV.|1|IDR|800000|800000|||TIDAK|31/08/2016 0:00:00|TIDAK|120000|310003340|1|||
37|AMY|0|110005681||Sekretaris Perusahaan|NONE|N27130182|No Project|PRINTER; PRINTER CANNON TIPE : PIXMA MP287|B2200|UN|IDR|1300000|1|1300000|1300000|||130003593|210003426|SP|INSAN JAYA MUKTI, CV.|1|IDR|1250000|1250000|||TIDAK|31/08/2016 0:00:00|TIDAK|500000|310003340|1|||
38|AMY|0|110005681||Sekretaris Perusahaan|NONE|N27140043|No Project|SCANNER; SCANNER PLUSTEK TIPE : MOBILEOFFICE S410	|B2200|UN|IDR|2980000|1|2980000|2980000|||130003593|210003426|SP|INSAN JAYA MUKTI, CV.|1|IDR|2775000|2775000|||TIDAK|31/08/2016 0:00:00|TIDAK|2180000|310003340|1|||
39|SASHA|0|110005680||Direktorat Keuangan & SDM|NONE|N26100070|No Project|PESAWAT TELEPON; PANASONIC KX-TG1311|B2200|BU|IDR|375000|2|750000|750000|||||||2||||||TIDAK||TIDAK||||||
40|IIS|0|110005679||Unit Bisnis ICT|NONE|N13105385|No Project|BRG JD ELEKTRIK; LENOVO C20-00 F0BBB0DHID WHITE/N3050/2GB/500GB/INTEGRATED/DVDRW/WIN 10 / KBD / 19.5â€™/ 1 YEAR|B2200|UN|IDR|4844490|1|4844490|4844490|||150001487|230001452|SP|ANUGERAH PUTRA SEJATI, CV.|1|IDR|4844000|4844000|||TIDAK|26/07/2016 0:00:00|TIDAK|490|310003223|1|||
41|IIS|0|110005679||Unit Bisnis ICT|NONE|N27120478|No Project|SOFTWARE; WINDOWS 8.1 64BIT|B2200|BU|IDR|1650000|1|1650000|1650000|||150001487|230001452|SP|ANUGERAH PUTRA SEJATI, CV.|1|IDR|1650000|1650000|||TIDAK|26/07/2016 0:00:00|TIDAK|-3194000|310003223|1|||
42|IIS|0|110005679||Unit Bisnis ICT|NONE|N27140044|No Project|SCANNER; FUJITSU SCAN PARTNER SP-25-FOLIO/F4-25LBR/MENIT|B2200|UN|IDR|8926700|1|8926700|8926700|||150001487|230001452|SP|ANUGERAH PUTRA SEJATI, CV.|1|IDR|8926700|8926700|||TIDAK|26/07/2016 0:00:00|TIDAK|4082700|310003223|1|||
43|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19140093|No Project|AMPLOP; 3/4 KABINET POLOS 11 X 15 CM PUTIH KERTAS BERPEREKAT, JAYA|2241|DUS|IDR|13006|4|52024|52024|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|4|IDR|13000|52000|||TIDAK|15/08/2016 0:00:00|TIDAK|24|340700266|4|||
44|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19120023|No Project|SELF STICK NOTE; 3X3 INCH, KUNING, POST IT|2241|PAC|IDR|9459|5|47295|47295|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|5|IDR|8800|44000|||TIDAK|15/08/2016 0:00:00|TIDAK|-4705|340700266|5|||
45|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100176|No Project|PISAU CUTTER; L 150, SEDANG, KENKO|2241|BU|IDR|13006|1|13006|13006|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|1|IDR|13000|13000|||TIDAK|15/08/2016 0:00:00|TIDAK|-38994|340700266|1|||
46|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100086|No Project|GUNTING; SS, KECIL, STAINLESS STEEL, GLORY|2241|BU|IDR|8277|1|8277|8277|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|1|IDR|8000|8000|||TIDAK|15/08/2016 0:00:00|TIDAK|-43723|340700266|1|||
47|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N13100047|No Project|BR J ELEKTRONIK/ELEKTRIK; BATTERY, 9V PERSEGI, ABC|2241|BU|IDR|11072,25|5|55361,25|55361,25|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|5|IDR|11000|55000|||TIDAK|15/08/2016 0:00:00|TIDAK|3361,25|340700266|5|||
48|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19140002|No Project|AMPLOP; KABINET PT.LEN, 11X23 CM, PUTIH, KERTAS BERPEREKAT (JAYA)|2241|DUS|IDR|73631|1|73631|73631|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|1|IDR|66000|66000|||TIDAK|15/08/2016 0:00:00|TIDAK|21631|340700266|1|||
49|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19140045|No Project|AMPLOP; POLOS, 24X35 CM, COKLAT, CEASING|2241|BU|IDR|591|100|59100|59100|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|100|IDR|550|55000|||TIDAK|15/08/2016 0:00:00|TIDAK|7100|340700266|100|||
50|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100309|No Project|REMOVER; PEMBUKA STEPLES , MAX|2241|BU|IDR|29560|2|59120|59120|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|2|IDR|29500|59000|||TIDAK|15/08/2016 0:00:00|TIDAK|7120|340700266|2|||
51|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100079|No Project|FILE ODNER; F4, (T=75 MM), BIRU , PLASTIK , BANTEX|2241|BU|IDR|29560|17|502520|502520|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|17|IDR|29500|501500|||TIDAK|15/08/2016 0:00:00|TIDAK|450520|340700266|17|||
52|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19120019|No Project|KERTAS; HVS, 80 GRAM, A4, PUTIH, BOLA DUNIA|2241|RIM|IDR|42996|20|859920|859920|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|20|IDR|40000|800000|||TIDAK|15/08/2016 0:00:00|TIDAK|807920|340700266|20|||
53|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19120057|No Project|LABEL/STIKER; LABEL NO. 100|2241|PAC|IDR|3547|4|14188|14188|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|4|IDR|3300|13200|||TIDAK|15/08/2016 0:00:00|TIDAK|-37812|340700266|4|||
54|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19110083|No Project|BALLPOINT; C6, FASTER HIGHGRADE|2241|BU|IDR|4300|24|103200|103200|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|24|IDR|4300|103200|||TIDAK|15/08/2016 0:00:00|TIDAK|51200|340700266|24|||
55|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19110020|No Project|PENSIL; 2B , STEADLER|2241|BU|IDR|4138|12|49656|49656|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|12|IDR|3850|46200|||TIDAK|15/08/2016 0:00:00|TIDAK|-2344|340700266|12|||
56|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100321|No Project|CLIPS; BINDER, NO.105, LOGAM, KENKO|2241|DUS|IDR|3547|12|42564|42564|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|12|IDR|3300|39600|||TIDAK|15/08/2016 0:00:00|TIDAK|-9436|340700266|12|||
57|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N18100111|No Project|SAFETY TOOLS;  MASKER KASA, STANDAR|2241|DUS|IDR|218281,5|6|1309689|1309689|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|6|IDR|210000|1260000|||TIDAK|15/08/2016 0:00:00|TIDAK|1257689|340700266|6|||
58|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100100|No Project|ISOLASI; DOUBLE SIDE, 10 MM, BENING, PLASTIK , POLAR BEAR|2241|ROL|IDR|5720|2|11440|11440|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|2|IDR|5500|11000|||TIDAK|15/08/2016 0:00:00|TIDAK|-40560|340700266|2|||
59|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100098|No Project|ISOLASI BAND; LACKBAND, L=2 INCH, HITAM  , PLASTIK , DAIMARU|2241|ROL|IDR|15371|2|30742|30742|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|2|IDR|15200|30400|||TIDAK|15/08/2016 0:00:00|TIDAK|-21258|340700266|2|||
60|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100106|No Project|ISOLASI; L=1 INCH, BENING, PLASTIK , PANFIX|2241|ROL|IDR|17736|2|35472|35472|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|2|IDR|17700|35400|||TIDAK|15/08/2016 0:00:00|TIDAK|-16528|340700266|2|||
61|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100111|No Project|ISOLASI; L=2 INCH, BENING, PLASTIK , PANFIX|2241|ROL|IDR|29560|4|118240|118240|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|4|IDR|29500|118000|||TIDAK|15/08/2016 0:00:00|TIDAK|66240|340700266|4|||
62|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19140055|No Project|BLANKO; FORMULIR K-1, 21.5X29.7 CM,  NCR RANGKAP 3|2241|BK|IDR|35472|8|283776|283776|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|8|IDR|33000|264000|||TIDAK|15/08/2016 0:00:00|TIDAK|231776|340700266|8|||
63|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19110056|No Project|SPIDOL; PERMANENT, WATERPROOF-M, SNOWMAN|2241|BU|IDR|11609|12|139308|139308|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|12|IDR|11000|132000|||TIDAK|15/08/2016 0:00:00|TIDAK|87308|340700266|12|||
64|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19140075|No Project|MAP; L, A4, BIRU, PLASTIK|2241|LSN|IDR|25260|2|50520|50520|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|2|IDR|24300|48600|||TIDAK|15/08/2016 0:00:00|TIDAK|-1480|340700266|2|||
65|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N27110617|No Project|MOUSE; MOUSE WIRELESS M187 LOGITECH	|2241|BU|IDR|225000|8|1800000|1800000|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|8|IDR|225000|1800000|||TIDAK|15/08/2016 0:00:00|TIDAK|1748000|340700266|8|||
66|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N27110618|No Project|KEYBOARD; KEYBOARD WIRELESS M220 LOGITECH|2241|BU|IDR|440000|4|1760000|1760000|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|4|IDR|440000|1760000|||TIDAK|15/08/2016 0:00:00|TIDAK|1708000|340700266|4|||
67|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N13100048|No Project|BR J ELEKTRONIK/ELEKTRIK; BATTERY, ALKALINE 1.5V, NATIONAL|2241|BU|IDR|10545|96|1012320|1012320|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|96|IDR|10500|1008000|||TIDAK|15/08/2016 0:00:00|TIDAK|960320|340700266|96|||
68|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19140133|No Project|BUKU; PEMBATAS FILE, LOGAM|2241|BU|IDR|26120|4|104480|104480|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|4|IDR|25000|100000|||TIDAK|15/08/2016 0:00:00|TIDAK|52480|340700266|4|||
69|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100034|No Project|CLEAR SHEET; BENING, A4, PLASTIK, BANTEX|2241|BU|IDR|2257|12|27084|27084|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|12|IDR|2200|26400|||TIDAK|15/08/2016 0:00:00|TIDAK|-24916|340700266|12|||
70|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19100038|No Project|CLEAR SHEET; BENING, F4 , PLASTIK, BNATEX|2241|DUS|IDR|236257|1|236257|236257|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|1|IDR|220000|220000|||TIDAK|15/08/2016 0:00:00|TIDAK|184257|340700266|1|||
71|INDRI|0|110005678||Divisi Pusat Teknologi & Inovasi|NONE|N19110094|No Project|BALLPOINT; BPT-P, HITAM, PILOT.|2241|BU|IDR|2128|24|51072|51072|||160000402|240000388|SP|KOPERASI KARYAWAN  LEN|24|IDR|2100|50400|||TIDAK|15/08/2016 0:00:00|TIDAK|-928|340700266|24|||
